feature_set,fold,model,strategy,threshold,recall,precision,f1,roc_auc,pr_auc
top30_full,1,LightGBM,smote,0.25,0.5714285714285714,0.42857142857142855,0.4897959183673469,0.8785896037804434,0.49099840916616144
top30_full,1,LightGBM,smote,0.3,0.5,0.44680851063829785,0.47191011235955055,0.8785896037804434,0.49099840916616144
top30_full,1,LightGBM,smote,0.35,0.4523809523809524,0.4523809523809524,0.4523809523809524,0.8785896037804434,0.49099840916616144
top30_full,1,LightGBM,smote,0.4,0.40476190476190477,0.4473684210526316,0.425,0.8785896037804434,0.49099840916616144
top30_full,1,LightGBM,smote,0.45,0.38095238095238093,0.45714285714285713,0.4155844155844156,0.8785896037804434,0.49099840916616144
top30_full,1,LightGBM,smote,0.5,0.38095238095238093,0.48484848484848486,0.4266666666666667,0.8785896037804434,0.49099840916616144
top30_full,2,Logistic,weighted,0.2,0.9523809523809523,0.27586206896551724,0.42780748663101603,0.8864958197019266,0.5913133169860263
top30_full,2,Logistic,weighted,0.25,0.9047619047619048,0.29457364341085274,0.4444444444444444,0.8864958197019266,0.5913133169860263
top30_full,2,Logistic,weighted,0.3,0.8809523809523809,0.3135593220338983,0.4625,0.8864958197019266,0.5913133169860263
top30_full,2,Logistic,weighted,0.35,0.8809523809523809,0.33035714285714285,0.4805194805194805,0.8864958197019266,0.5913133169860263
top30_full,2,Logistic,weighted,0.4,0.8809523809523809,0.3557692307692308,0.5068493150684932,0.8864958197019266,0.5913133169860263
top30_full,2,Logistic,weighted,0.45,0.8571428571428571,0.3673469387755102,0.5142857142857142,0.8864958197019266,0.5913133169860263
top30_full,2,Logistic,weighted,0.5,0.7857142857142857,0.38372093023255816,0.515625,0.8864958197019266,0.5913133169860263
top30_full,2,Logistic,smote,0.2,0.9523809523809523,0.29850746268656714,0.45454545454545453,0.903217011995638,0.6358957673536354
top30_full,2,Logistic,smote,0.25,0.9047619047619048,0.3114754098360656,0.4634146341463415,0.903217011995638,0.6358957673536354
top30_full,2,Logistic,smote,0.3,0.9047619047619048,0.33043478260869563,0.4840764331210191,0.903217011995638,0.6358957673536354
top30_full,2,Logistic,smote,0.35,0.9047619047619048,0.3584905660377358,0.5135135135135135,0.903217011995638,0.6358957673536354
top30_full,2,Logistic,smote,0.4,0.8809523809523809,0.37373737373737376,0.524822695035461,0.903217011995638,0.6358957673536354
top30_full,2,Logistic,smote,0.45,0.8571428571428571,0.375,0.5217391304347826,0.903217011995638,0.6358957673536354
top30_full,2,Logistic,smote,0.5,0.8095238095238095,0.3953488372093023,0.53125,0.903217011995638,0.6358957673536354
top30_full,2,Tree,weighted,0.2,0.9047619047619048,0.2585034013605442,0.4021164021164021,0.8372864412940748,0.48125650643006923
top30_full,2,Tree,weighted,0.25,0.8333333333333334,0.24822695035460993,0.3825136612021858,0.8372864412940748,0.48125650643006923
top30_full,2,Tree,weighted,0.3,0.8333333333333334,0.24822695035460993,0.3825136612021858,0.8372864412940748,0.48125650643006923
top30_full,2,Tree,weighted,0.35,0.8095238095238095,0.2518518518518518,0.384180790960452,0.8372864412940748,0.48125650643006923
top30_full,2,Tree,weighted,0.4,0.7619047619047619,0.32,0.4507042253521127,0.8372864412940748,0.48125650643006923
top30_full,2,Tree,weighted,0.45,0.7619047619047619,0.32989690721649484,0.460431654676259,0.8372864412940748,0.48125650643006923
top30_full,2,Tree,weighted,0.5,0.7619047619047619,0.32989690721649484,0.460431654676259,0.8372864412940748,0.48125650643006923
top30_full,2,Tree,smote,0.2,0.6190476190476191,0.2857142857142857,0.39097744360902253,0.7465921483097055,0.31722789629413894
top30_full,2,Tree,smote,0.25,0.6190476190476191,0.2857142857142857,0.39097744360902253,0.7465921483097055,0.31722789629413894
top30_full,2,Tree,smote,0.3,0.6190476190476191,0.2857142857142857,0.39097744360902253,0.7465921483097055,0.31722789629413894
top30_full,2,Tree,smote,0.35,0.6190476190476191,0.2857142857142857,0.39097744360902253,0.7465921483097055,0.31722789629413894
top30_full,2,Tree,smote,0.4,0.5952380952380952,0.28735632183908044,0.3875968992248062,0.7465921483097055,0.31722789629413894
top30_full,2,Tree,smote,0.45,0.42857142857142855,0.3,0.35294117647058826,0.7465921483097055,0.31722789629413894
top30_full,2,Tree,smote,0.5,0.40476190476190477,0.3090909090909091,0.35051546391752575,0.7465921483097055,0.31722789629413894
top30_full,2,RandomForest,weighted,0.2,0.9761904761904762,0.22162162162162163,0.36123348017621143,0.8690476190476191,0.5012145989780284
top30_full,2,RandomForest,weighted,0.25,0.9523809523809523,0.24096385542168675,0.38461538461538464,0.8690476190476191,0.5012145989780284
top30_full,2,RandomForest,weighted,0.3,0.9285714285714286,0.2708333333333333,0.41935483870967744,0.8690476190476191,0.5012145989780284
top30_full,2,RandomForest,weighted,0.35,0.8809523809523809,0.30327868852459017,0.45121951219512196,0.8690476190476191,0.5012145989780284
top30_full,2,RandomForest,weighted,0.4,0.8571428571428571,0.3364485981308411,0.48322147651006714,0.8690476190476191,0.5012145989780284
top30_full,2,RandomForest,weighted,0.45,0.7857142857142857,0.375,0.5076923076923077,0.8690476190476191,0.5012145989780284
top30_full,2,RandomForest,weighted,0.5,0.7380952380952381,0.44285714285714284,0.5535714285714286,0.8690476190476191,0.5012145989780284
top30_full,2,RandomForest,smote,0.2,0.9523809523809523,0.25806451612903225,0.40609137055837563,0.8626862958924028,0.4579524971942852
top30_full,2,RandomForest,smote,0.25,0.8571428571428571,0.2748091603053435,0.4161849710982659,0.8626862958924028,0.4579524971942852
top30_full,2,RandomForest,smote,0.3,0.8333333333333334,0.30701754385964913,0.44871794871794873,0.8626862958924028,0.4579524971942852
top30_full,2,RandomForest,smote,0.35,0.8095238095238095,0.3434343434343434,0.48226950354609927,0.8626862958924028,0.4579524971942852
top30_full,2,RandomForest,smote,0.4,0.8095238095238095,0.39080459770114945,0.5271317829457365,0.8626862958924028,0.4579524971942852
top30_full,2,RandomForest,smote,0.45,0.7380952380952381,0.4246575342465753,0.5391304347826087,0.8626862958924028,0.4579524971942852
top30_full,2,RandomForest,smote,0.5,0.6190476190476191,0.48148148148148145,0.5416666666666666,0.8626862958924028,0.4579524971942852
top30_full,2,XGBoost,weighted,0.2,0.8095238095238095,0.41975308641975306,0.5528455284552846,0.898854961832061,0.6013362356039142
