hogar_id,conglome,vivienda,hogar,ubigeo,departamento_codigo,provincia_codigo,distrito_codigo,dominio_geografico,estrato_geografico,area_urbana_rural,area_rural_bin,factor_expansion_anual,target_pobreza_monetaria_bin,nivel_educativo_jefe_ord,usa_combustible_limpio,num_habitaciones,num_miembros_afiliados_essalud,material_techo,num_ninos_0_5,tam_hogar,edad_jefe,piso_precario,tenencia_vivienda,num_ninos_6_16,acceso_internet_hogar,num_miembros_sin_atencion_salud,tipo_vivienda,material_pared,acceso_desague_red,num_6_16_no_matriculados
040110_015555_033_11,015555,033,11,040110,04,0401,040110,sierra sur, de 500 000 a más habitantes,urbana,0,1084.6403,0,5.0,1,2.0,0,"planchas de calamina, fibra de cemento o similares",0,3,67.0,0,"propia, totalmente pagada",0,1,0,casa independiente,ladrillo o bloque de cemento,1,0
040110_015555_047_11,015555,047,11,040110,04,0401,040110,sierra sur, de 500 000 a más habitantes,urbana,0,1084.6403,0,6.0,1,1.0,2,concreto armado,0,3,60.0,0,"propia, totalmente pagada",1,1,0,casa independiente,ladrillo o bloque de cemento,1,1
040110_015555_080_11,015555,080,11,040110,04,0401,040110,sierra sur, de 500 000 a más habitantes,urbana,0,1084.6403,1,3.0,1,1.0,0,"planchas de calamina, fibra de cemento o similares",0,2,47.0,0,cedida por otro hogar o institucion,0,0,1,"vivienda en casa de vecindad (callejon, solar o corralon)",ladrillo o bloque de cemento,1,0
040110_015555_097_11,015555,097,11,040110,04,0401,040110,sierra sur, de 500 000 a más habitantes,urbana,0,1084.6403,0,8.0,1,2.0,1,concreto armado,0,7,50.0,0,alquilada,4,1,3,casa independiente,ladrillo o bloque de cemento,1,2
040110_015555_112_11,015555,112,11,040110,04,0401,040110,sierra sur, de 500 000 a más habitantes,urbana,0,1084.6403,0,6.0,1,2.0,0,concreto armado,0,2,55.0,0,"propia, totalmente pagada",0,1,0,casa independiente,ladrillo o bloque de cemento,1,0
040112_015578_002_11,015578,002,11,040112,04,0401,040112,sierra sur, de 500 000 a más habitantes,urbana,0,286.62036,0,3.0,1,2.0,1,"planchas de calamina, fibra de cemento o similares",0,5,69.0,0,"propia, totalmente pagada",1,1,1,casa independiente,piedra con barro,0,1
040112_015578_043_11,015578,043,11,040112,04,0401,040112,sierra sur, de 500 000 a más habitantes,urbana,0,286.62036,0,6.0,1,2.0,0,concreto armado,1,4,38.0,0,cedida por otro hogar o institucion,1,1,1,casa independiente,ladrillo o bloque de cemento,0,1
040112_015578_050_11,015578,050,11,040112,04,0401,040112,sierra sur, de 500 000 a más habitantes,urbana,0,286.62036,0,6.0,1,2.0,0,concreto armado,0,1,36.0,0,"propia, totalmente pagada",0,1,1,casa independiente,ladrillo o bloque de cemento,0,0
040112_015578_056_11,015578,056,11,040112,04,0401,040112,sierra sur, de 500 000 a más habitantes,urbana,0,286.62036,0,8.0,1,2.0,0,"planchas de calamina, fibra de cemento o similares",0,2,40.0,0,"propia, totalmente pagada",0,1,2,casa independiente,ladrillo o bloque de cemento,0,0
040112_015578_062_11,015578,062,11,040112,04,0401,040112,sierra sur, de 500 000 a más habitantes,urbana,0,286.62036,0,5.0,1,1.0,0,"planchas de calamina, fibra de cemento o similares",0,3,32.0,0,"propia, totalmente pagada",1,1,3,casa independiente,ladrillo o bloque de cemento,0,1
040129_015582_012_11,015582,012,11,040129,04,0401,040129,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,10.0,1,4.0,1,concreto armado,0,1,23.0,0,alquilada,0,1,0,departamento en edificio,ladrillo o bloque de cemento,1,0
040129_015582_032_11,015582,032,11,040129,04,0401,040129,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,6.0,1,3.0,5,concreto armado,0,5,51.0,0,"propia, totalmente pagada",3,1,2,casa independiente,ladrillo o bloque de cemento,1,2
040129_015582_072_11,015582,072,11,040129,04,0401,040129,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,1,3.0,1,5.0,2,concreto armado,1,6,75.0,0,"propia, totalmente pagada",1,1,3,casa independiente,ladrillo o bloque de cemento,1,1
