hogar_id,conglome,vivienda,hogar,ubigeo,factor_expansion_anual,target_pobreza_monetaria_bin,acceso_internet_hogar_derivado,internet_hogar_enaho,dispositivo_servicio_digital_1,dispositivo_servicio_digital_2,dispositivo_servicio_digital_3,edad_jefe,num_adultos_65_mas,num_ninos_0_5,num_ninos_6_16,sexo_jefe_bin,tam_hogar,al_menos_un_6_16_no_asiste,al_menos_un_6_16_no_matriculado,hogar_con_ninos_no_asisten,hogar_con_ninos_no_matriculados,nivel_educativo_jefe_cat,nivel_educativo_jefe_ord,num_6_16_no_asisten,num_6_16_no_matriculados,al_menos_un_ingreso_laboral_hogar,jefe_con_ingreso_laboral,num_miembros_con_ingreso_laboral,num_perceptores_hogar,acceso_electricidad,usa_combustible_limpio,usa_combustible_precario,combustible_principal_cocina,es_area_rural,estrato_geografico,al_menos_un_enfermedad_4_sem,al_menos_un_sintoma_4_sem,health_no_attention,num_miembros_afiliados_essalud,num_miembros_con_enfermedad_4_sem,num_miembros_con_sintoma_4_sem,num_miembros_sin_atencion_salud,acceso_agua_red,acceso_desague_red,agua_disponible_diaria,agua_potable_reportada,agua_segura_proxy,saneamiento_inadecuado,material_piso_cat,tipo_vivienda,material_pared,material_techo,num_habitaciones,tenencia_vivienda,piso_precario,ingreso_neto_total_hogar,monto_total_transferencias_publicas,monto_total_programas_sociales_alimentarios,monto_total_programas_sociales_no_alimentarios,recibe_programa_social_alimentario,recibe_programa_social_no_alimentario,monto_bono_alimentario,monto_apoyo_ollas_comunes,monto_ingresos_gastos_ollas_comunes,monto_juntos,monto_otras_transferencias_publicas,monto_pension_65,monto_beca_18,monto_bono_gas,monto_bono_electricidad,monto_bono_onp_jubilados,monto_programa_contigo,monto_bono_yanapay
040109_015568_093_11,015568,093,11,040109,286.62036,0,1,conexion a internet,pase,pase,conexion movil prepago,51.0,1,0,0,1,3,0,0,0,0,secundaria completa,6.0,0,0,1,1,2,3,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,0,0,2,1,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,"planchas de calamina, fibra de cemento o similares",1.0,"propia, totalmente pagada",0,24966.958984375,573,573.0,0,1,0,573,0.0,0.0,0,0,0,0,0,0,0,0,0
040109_015568_122_11,015568,122,11,040109,286.62036,1,1,conexion a internet,conexion fija,pase,conexion movil prepago,35.0,0,0,3,1,5,1,0,1,0,secundaria completa,6.0,1,0,1,1,1,1,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,1,0,1,1,1,1,1,1,1,1,0,"losetas, terrazos o similares",casa independiente,ladrillo o bloque de cemento,concreto armado,3.0,"propia, totalmente pagada",0,21044.072265625,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040103_015572_004_11,015572,004,11,040103,813.4802,0,1,conexion a internet,pase,conexion movil post pago control,pase,28.0,0,1,1,0,4,0,0,0,0,secundaria incompleta,5.0,0,0,1,0,1,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,0,0,1,1,1,1,1,1,1,0,"losetas, terrazos o similares",casa independiente,ladrillo o bloque de cemento,concreto armado,5.0,"propia, totalmente pagada",0,39321.91796875,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040103_015572_017_11,015572,017,11,040103,813.4802,0,1,conexion a internet,conexion fija,pase,pase,38.0,0,0,2,1,4,0,0,0,0,superior universitaria completa,10.0,0,0,1,1,1,1,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,4,0,1,1,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,3.0,cedida por otro hogar o institucion,0,22655.37890625,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040103_015572_031_11,015572,031,11,040103,813.4802,0,1,conexion a internet,pase,conexion movil post pago control,conexion movil prepago,44.0,0,1,1,0,4,0,0,0,0,secundaria completa,6.0,0,0,1,1,3,3,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,1,0,4,2,4,1,1,1,1,1,0,"losetas, terrazos o similares",departamento en edificio,ladrillo o bloque de cemento,concreto armado,4.0,alquilada,0,34648.89453125,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040103_015572_044_11,015572,044,11,040103,813.4802,0,1,conexion a internet,conexion fija,pase,pase,63.0,0,0,0,1,2,0,0,0,0,secundaria completa,6.0,0,0,1,0,1,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,1,2,1,1,2,1,1,1,1,1,0,"laminas asfalticas, vinilicos o similares",casa independiente,ladrillo o bloque de cemento,concreto armado,3.0,"propia, totalmente pagada",0,17833.318359375,10489,0.0,10489,0,1,0,0.0,0.0,0,10489,0,0,0,0,0,0,0
040103_015572_058_11,015572,058,11,040103,813.4802,0,1,conexion a internet,conexion fija,conexion movil post pago control,conexion movil prepago,51.0,0,1,2,0,7,0,0,0,0,secundaria completa,6.0,0,0,1,1,2,3,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,1,4,2,5,3,1,1,1,1,1,0,"losetas, terrazos o similares",casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,"propia, totalmente pagada",0,84084.6796875,581,0.0,581,0,1,0,0.0,0.0,0,581,0,0,0,0,0,0,0
040103_015572_086_11,015572,086,11,040103,813.4802,0,1,conexion a internet,conexion fija,conexion movil post pago control,pase,52.0,0,0,2,1,4,0,0,0,0,secundaria completa,6.0,0,0,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,1,4,1,1,1,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,3.0,"propia, totalmente pagada",0,55883.5,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040102_015587_003_11,015587,003,11,040102,286.62036,1,1,conexion a internet,pase,pase,conexion movil prepago,41.0,0,0,2,1,5,1,1,1,1,secundaria completa,6.0,1,1,1,1,1,1,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,2,0,2,2,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,3.0,"propia, totalmente pagada",0,28190.8984375,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040102_015587_016_11,015587,016,11,040102,286.62036,0,1,conexion a internet,conexion fija,conexion movil post pago control,pase,49.0,0,0,1,0,3,0,1,0,1,primaria incompleta,3.0,0,1,1,1,1,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,0,0,1,2,0,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,"propia, totalmente pagada",0,22084.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
