table_id,zip_name,table_name,column_name,original_column_name,dtype,null_count,null_pct,n_unique
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d2_4,p311d2_4,float64,108351,99.9972,3
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d2_5,p311d2_5,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d2_6,p311d2_6,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d2_7,p311d2_7,float64,108272,99.9243,32
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d2_8,p311d2_8,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d2_9,p311d2_9,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d3_1,p311d3_1,float32,108330,99.9779,19
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d3_2,p311d3_2,float32,108309,99.9585,24
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d3_3,p311d3_3,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d3_4,p311d3_4,float64,108220,99.8763,47
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d3_5,p311d3_5,float64,108352,99.9982,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d3_6,p311d3_6,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d3_7,p311d3_7,float64,108227,99.8828,45
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d3_8,p311d3_8,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d3_9,p311d3_9,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d4_1,p311d4_1,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d4_2,p311d4_2,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d4_3,p311d4_3,float64,108353,99.9991,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d4_4,p311d4_4,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d4_5,p311d4_5,float64,108352,99.9982,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d4_6,p311d4_6,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d4_7,p311d4_7,float64,107877,99.5598,90
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d4_8,p311d4_8,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d4_9,p311d4_9,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d5_1,p311d5_1,float64,106400,98.1967,255
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d5_2,p311d5_2,float64,106041,97.8653,208
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d5_3,p311d5_3,float64,108250,99.904,64
