variable,tipo_feature,dtype,nulos_pct,requiere_imputacion,requiere_encoding,riesgo_leakage
pobrezav,categorica,category,0.0,False,True,bajo
provincia_cod,categorica,str,0.0,False,True,bajo
sub_conglome,categorica,str,0.0,False,True,bajo
tipo_desague,categorica,str,0.0,False,True,bajo
ubigeo,categorica,str,0.0,False,True,bajo
edad_jefe,numerica,float64,0.0,False,False,bajo
educ_jefe_ord,numerica,float64,0.0,False,False,bajo
factor07,numerica,float32,0.0,False,False,bajo
g05hd,numerica,float32,0.0,False,False,bajo
g05hd1,numerica,float32,0.0,False,False,bajo
g05hd2,numerica,float32,0.0,False,False,bajo
g07hd,numerica,float32,0.0,False,False,bajo
ga03hd,numerica,float32,0.0,False,False,bajo
ga04hd,numerica,float64,0.0,False,False,bajo
gashog1d,numerica,float64,0.0,False,False,bajo
gasto_hogar,numerica,float64,0.0,False,False,bajo
gru14hd1,numerica,float32,0.0,False,False,bajo
gru14hd2,numerica,float32,0.0,False,False,bajo
gru14hd4,numerica,float32,0.0,False,False,bajo
gru42hd1,numerica,float32,0.0,False,False,bajo
gru42hd2,numerica,float32,0.0,False,False,bajo
gru43hd1,numerica,float32,0.0,False,False,bajo
gru43hd2,numerica,float32,0.0,False,False,bajo
gru43hd3,numerica,float32,0.0,False,False,bajo
gru71hd,numerica,float32,0.0,False,False,bajo
gru72hd1,numerica,float32,0.0,False,False,bajo
gru73hd1,numerica,float32,0.0,False,False,bajo
gru73hd2,numerica,float32,0.0,False,False,bajo
gru73hd3,numerica,float32,0.0,False,False,bajo
gru74hd,numerica,float32,0.0,False,False,bajo
gru81hd,numerica,float32,0.0,False,False,bajo
gru82hd1,numerica,float32,0.0,False,False,bajo
gru82hd2,numerica,float32,0.0,False,False,bajo
gru83hd1,numerica,float32,0.0,False,False,bajo
gru83hd2,numerica,float32,0.0,False,False,bajo
gru83hd3,numerica,float32,0.0,False,False,bajo
gru83hd4,numerica,float32,0.0,False,False,bajo
gru84hd,numerica,float32,0.0,False,False,bajo
gru84hd1,numerica,float32,0.0,False,False,bajo
gru85hd1,numerica,float32,0.0,False,False,bajo
gru86hd1,numerica,float32,0.0,False,False,bajo
gru87hd,numerica,float32,0.0,False,False,bajo
ia01hd,numerica,float64,0.0,False,False,bajo
ia02hd,numerica,float32,0.0,False,False,bajo
ig03hd1,numerica,int32,0.0,False,False,bajo
ig03hd2,numerica,int32,0.0,False,False,bajo
ig03hd3,numerica,int32,0.0,False,False,bajo
ig03hd4,numerica,int32,0.0,False,False,bajo
ig06hd,numerica,float32,0.0,False,False,bajo
ig06hd1,numerica,float32,0.0,False,False,bajo
ig06hd2,numerica,float32,0.0,False,False,bajo
ig08hd,numerica,float32,0.0,False,False,bajo
ingauthd,numerica,int32,0.0,False,False,bajo
ingbruhd,numerica,float64,0.0,False,False,bajo
ingexthd,numerica,int32,0.0,False,False,bajo
inghog2d,numerica,float64,0.0,False,False,bajo
ingindhd,numerica,float64,0.0,False,False,bajo
ingmo1hd,numerica,float64,0.0,False,False,bajo
ingmo2hd,numerica,float64,0.0,False,False,bajo
ingnethd,numerica,float64,0.0,False,False,bajo
ingoexhd,numerica,int32,0.0,False,False,bajo
ingrenhd,numerica,int32,0.0,False,False,bajo
ingseihd,numerica,float64,0.0,False,False,bajo
ingtexhd,numerica,int32,0.0,False,False,bajo
ingtprhd,numerica,int32,0.0,False,False,bajo
ingtpu01,numerica,int16,0.0,False,False,bajo
ingtpu02,numerica,int32,0.0,False,False,bajo
ingtpu03,numerica,int16,0.0,False,False,bajo
ingtpu04,numerica,int32,0.0,False,False,bajo
ingtpu05,numerica,int16,0.0,False,False,bajo
ingtpu10,numerica,int8,0.0,False,False,bajo
ingtpu12,numerica,int16,0.0,False,False,bajo
ingtpu13,numerica,int16,0.0,False,False,bajo
ingtpu14,numerica,int16,0.0,False,False,bajo
ingtpu16,numerica,int16,0.0,False,False,bajo
ingtpuhd,numerica,int32,0.0,False,False,bajo
ingtrahd,numerica,int32,0.0,False,False,bajo
insedlhd,numerica,float64,0.0,False,False,bajo
insedthd,numerica,float64,0.0,False,False,bajo
isecauhd,numerica,int16,0.0,False,False,bajo
ld,numerica,float32,0.0,False,False,bajo
lineav,numerica,float32,0.0,False,False,bajo
miembros_afiliados_essalud,numerica,int64,0.0,False,False,bajo
miembros_con_enfermedad_4w,numerica,int64,0.0,False,False,bajo
miembros_con_ingreso_laboral,numerica,int64,0.0,False,False,bajo
miembros_con_sintoma_4w,numerica,int64,0.0,False,False,bajo
miembros_sin_atencion_salud,numerica,int64,0.0,False,False,bajo
n_6_16_matriculados,numerica,int64,0.0,False,False,bajo
n_6_16_no_asisten,numerica,int64,0.0,False,False,bajo
n_6_16_no_matriculados,numerica,int64,0.0,False,False,bajo
n_6_16_total,numerica,int64,0.0,False,False,bajo
n_adultos_65_mas,numerica,int64,0.0,False,False,bajo
n_ninos_0_5,numerica,int64,0.0,False,False,bajo
n_ninos_6_16,numerica,int64,0.0,False,False,bajo
num_perceptores,numerica,int8,0.0,False,False,bajo
p104,numerica,float64,0.3955,True,False,bajo
