survey,category,year,period,module_code,module_name,variable,label,values,concept,query,matched_annual_enaho_2023
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,p5404b,"en su ocupacion secun., ¿con que frecuencia ...: vivienda ? - valor estimado por",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,p5404c,"en su ocupacion secun., ¿con que frecuencia ...: vivienda? - no sabe","{""1"": ""no sabe""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,d5294b,"(deflactado, anual) en su ocupacion principal, ¿con que frecuencia...: vivienda?",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,d5404b,"(deflactado, anual) en su ocupacion secun., ¿con que frecuencia ...: vivienda ?",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,i5294b,"(imputado, anual) en su ocupacion principal, ¿con que frecuencia...: vivienda? -",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,i5404b,"(imputado, anual) en su ocupacion secun., ¿con que frecuencia ...: vivienda ? -",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),vivienda,numero de seleccion de vivienda,,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),ia01hd,ingreso alquiler imputado de la vivienda,,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),ig03hd2,"credito, compra terreno para vivienda",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),ig03hd3,"credito, mejoramiento y/o ampliacion de la vivienda",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),ig03hd4,"credito, construccion de nueva vivienda",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru51hd,"grupo 5: muebles, enseres y mantenimiento de la vivienda - gasto",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru52hd,"grupo 5: muebles, enseres y mantenimiento de la vivienda - autoconsumo, autosumi",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru53hd,"grupo 5: muebles, enseres y mantenimiento de la vivienda - pago en especie",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru54hd,"grupo 5: muebles, enseres y mantenimiento de la vivienda - donacion publica",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru55hd,"grupo 5: muebles, enseres y mantenimiento de la vivienda - donacion privada",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru56hd,"grupo 5: muebles, enseres y mantenimiento de la vivienda - otros",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru57hd,"grupo 5: muebles, enseres y mantenimiento de la vivienda - no sabe no gasto",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru51hd1,"grupo 5: muebles, enseres y mantenimiento de la vivienda - reparacion electrodom",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru52hd1,"grupo 5: muebles, enseres y mantenimiento de la vivienda-reparacion electrodomés",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru53hd1,"grupo 5: muebles, enseres y mantenimiento de la vivienda-reparacion electrodomés",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru54hd1,"grupo 5: muebles, enseres y mantenimiento de la vivienda -reparacion electrodomé",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru55hd1,"grupo 5: muebles, enseres y mantenimiento de la vivienda -reparacion electrodomé",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru56hd1,"grupo 5: muebles, enseres y mantenimiento de la vivienda -reparacion electrodomé",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),gru57hd1,"grupo 5: muebles, enseres y mantenimiento de la vivienda - reparacion electrodom",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,hogar,numero secuencial del hogar,,hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,panel,¿el hogar fue entrevistado el año pasado?,"{""1"": ""si"", ""2"": ""no""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p105a,la vivienda que ocupa su hogar es:,"{""1"": ""alquilada"", ""2"": ""propia, totalmente pagada"", ""3"": ""propia, por invasion"", ""4"": ""propia, comprandola a plazos"", ""5"": ""cedida por el centro de trabajo"", ""6"": ""cedida por otro hogar o institucion"", ""7"": ""otra forma""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p107b1,"en los ultimos 12 meses, de ... a ...¿ud. o algun miembro del hogar ha obtenido","{""1"": ""si"", ""2"": ""no""}",hogar,hogar,True
