column_name,null_count,null_pct,dtype
personas_con_mod_salud,0,0.0,int64
miembros_con_sintoma_4w,0,0.0,int64
miembros_con_enfermedad_4w,0,0.0,int64
miembros_sin_atencion_salud,0,0.0,int64
miembros_afiliados_essalud,0,0.0,int64
any_sintoma_4w,0,0.0,int64
any_enfermedad_4w,0,0.0,int64
any_sin_atencion_salud,0,0.0,int64
personas_con_mod_empleo,0,0.0,int64
miembros_con_ingreso_laboral,0,0.0,int64
jefe_con_ingreso_laboral,0,0.0,int64
any_ingreso_laboral_hogar,0,0.0,int64
provincia_cod,0,0.0,str
distrito_cod,0,0.0,str
sexo_jefe_bin,0,0.0,int64
educ_jefe_ord,0,0.0,float64
educ_jefe,0,0.0,str
tam_hogar,0,0.0,int8
num_perceptores,0,0.0,int8
gasto_hogar,0,0.0,float64
material_piso,6,0.3955,str
piso_precario,0,0.0,int64
fuente_agua,0,0.0,str
acceso_agua_red,0,0.0,int64
agua_potable_reportada,0,0.0,int64
agua_disponible_diaria,0,0.0,int64
agua_segura_proxy,0,0.0,int64
tipo_desague,0,0.0,str
acceso_desague_red,0,0.0,int64
saneamiento_inadecuado,0,0.0,int64
acceso_electricidad,0,0.0,int64
combustible_principal,11,0.7251,str
combustible_limpio,0,0.0,int64
combustible_precario,0,0.0,int64
internet_hogar,0,0.0,int64
area_urbana_rural,0,0.0,str
area_rural_bin,0,0.0,int64
health_no_attention,0,0.0,int64
children_not_enrolled,0,0.0,int64
children_not_attending,0,0.0,int64
target_pobreza_bin,0,0.0,int64
