usa_combustible_limpio,usa_combustible_precario,dispositivo_servicio_digital_2,material_techo,nivel_educativo_jefe_ord,dispositivo_servicio_digital_3,piso_precario,ingreso_neto_total_hogar,num_habitaciones,acceso_internet_hogar_derivado,dispositivo_servicio_digital_1,material_pared,tam_hogar,num_ninos_0_5,num_ninos_6_16,num_miembros_afiliados_essalud,estrato_geografico,monto_juntos,acceso_desague_red,monto_bono_gas,y_true,y_score,y_pred
1,0,pase,"planchas de calamina, fibra de cemento o similares",5.0,conexion movil prepago,0,51310.734375,1.0,1,pase,ladrillo o bloque de cemento,3,0,1,0, de 500 000 a más habitantes,0,0,0,0,0.3071766807490313,1
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",6.0,pase,0,31032.1796875,1.0,1,pase,ladrillo o bloque de cemento,3,0,2,2, de 500 000 a más habitantes,0,1,0,0,0.34481832741651763,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",7.0,conexion movil prepago,0,73733.6640625,3.0,1,conexion fija,ladrillo o bloque de cemento,5,1,1,4, de 500 000 a más habitantes,0,1,0,0,0.282666184934534,1
1,0,conexion movil post pago control,concreto armado,5.0,pase,1,49548.17578125,4.0,1,pase,ladrillo o bloque de cemento,5,0,0,3, de 500 a 1 999 habitantes,0,1,0,0,0.3489691701221314,1
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",4.0,pase,0,27241.0,3.0,1,conexion fija,ladrillo o bloque de cemento,4,0,1,2, de 500 000 a más habitantes,0,1,0,0,0.5521916876166038,1
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,24135.904296875,3.0,1,pase,triplay/calamina/estera,3,0,1,0,de 2 000 a 19 999 habitantes,0,1,0,0,0.49906307537316646,1
1,0,,"planchas de calamina, fibra de cemento o similares",4.0,,0,33475.0,2.0,0,,ladrillo o bloque de cemento,1,0,0,0, de 500 000 a más habitantes,0,0,0,0,0.20118704136309296,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",1.0,conexion movil prepago,0,29395.759765625,2.0,1,pase,"madera (pona, tornillo, etc)",3,0,0,0,de 2 000 a 19 999 habitantes,0,0,0,0,0.5978781302164246,1
1,0,conexion movil post pago control,concreto armado,5.0,pase,0,83374.0,6.0,1,pase,ladrillo o bloque de cemento,6,1,0,3, de 20 000 a 49 999 habitantes,0,1,0,0,0.35448827960390505,1
0,0,,"planchas de calamina, fibra de cemento o similares",3.0,,1,2521.700439453125,1.0,0,,piedra con barro,1,0,0,0,area de empadronamiento rural (aer) simple,0,0,0,0,0.7220346557646206,1
