feature_set,model,strategy,threshold,recall,precision,f1,roc_auc,pr_auc
top20_full,XGBoost,weighted,0.5,0.545760743321719,0.4783590039789501,0.508443275379364,0.8641704568626929,0.4927899041428426
top20_sin_leakage,LightGBM,smote,0.2,0.6523809523809524,0.3626425160481297,0.4658983203906872,0.8257941679743951,0.43236294469117986
top20_sin_leakage,LightGBM,smote,0.25,0.6090592334494774,0.3927356755059003,0.47658627087198513,0.8257941679743951,0.43236294469117986
top20_sin_leakage,LightGBM,smote,0.3,0.594541231126597,0.4123256842866688,0.4854534796566661,0.8257941679743951,0.43236294469117986
top20_sin_leakage,LightGBM,smote,0.35,0.5221835075493612,0.4103209181233728,0.45729685362517103,0.8257941679743951,0.43236294469117986
top20_sin_leakage,LightGBM,smote,0.4,0.47375145180023226,0.41320724889145943,0.43888125811511963,0.8257941679743951,0.43236294469117986
top20_sin_leakage,LightGBM,smote,0.45,0.40603948896631825,0.41639966624947855,0.40881874419206127,0.8257941679743951,0.43236294469117986
top20_sin_leakage,LightGBM,smote,0.5,0.3673635307781649,0.41294219025139556,0.3868006727009502,0.8257941679743951,0.43236294469117986
top20_sin_leakage,LightGBM,weighted,0.2,0.7926829268292683,0.30078976936119795,0.4356736640258364,0.8306083818744403,0.43575866030710386
top20_sin_leakage,LightGBM,weighted,0.25,0.753890824622532,0.31396089995294707,0.44269890412305274,0.8306083818744403,0.43575866030710386
top20_sin_leakage,LightGBM,weighted,0.3,0.686411149825784,0.31932335430957137,0.4352007022461182,0.8306083818744403,0.43575866030710386
top20_sin_leakage,LightGBM,weighted,0.35,0.6718931475029036,0.34054147236859983,0.4514597170413349,0.8306083818744403,0.43575866030710386
top20_sin_leakage,LightGBM,weighted,0.4,0.6475029036004646,0.36322478290755145,0.46490469840853477,0.8306083818744403,0.43575866030710386
top20_sin_leakage,LightGBM,weighted,0.45,0.6282229965156795,0.3773309457679258,0.47082513836685036,0.8306083818744403,0.43575866030710386
top20_sin_leakage,LightGBM,weighted,0.5,0.6089430894308944,0.3935153971464807,0.477124523909049,0.8306083818744403,0.43575866030710386
top20_sin_leakage,Logistic,smote,0.2,0.913124274099884,0.23449705046381775,0.3729868315205795,0.8368087879352076,0.47915262427706856
top20_sin_leakage,Logistic,smote,0.25,0.8890824622531939,0.24825769015986668,0.3878953586401893,0.8368087879352076,0.47915262427706856
top20_sin_leakage,Logistic,smote,0.3,0.8843205574912891,0.2710309081511792,0.4145170312322951,0.8368087879352076,0.47915262427706856
top20_sin_leakage,Logistic,smote,0.35,0.8601626016260162,0.28336925314706096,0.42606185552125747,0.8368087879352076,0.47915262427706856
top20_sin_leakage,Logistic,smote,0.4,0.8360046457607433,0.30020131290266716,0.4415239665581482,0.8368087879352076,0.47915262427706856
top20_sin_leakage,Logistic,smote,0.45,0.7876887340301975,0.3153894288799949,0.44971732146755794,0.8368087879352076,0.47915262427706856
top20_sin_leakage,Logistic,smote,0.5,0.7488966318234611,0.32622199719971995,0.4539710650091884,0.8368087879352076,0.47915262427706856
top20_sin_leakage,Logistic,weighted,0.2,0.9227642276422765,0.2269449333666465,0.3641118204956252,0.8399663980282115,0.48416272402219107
top20_sin_leakage,Logistic,weighted,0.25,0.8987224157955864,0.24361036665103458,0.38294195975665196,0.8399663980282115,0.48416272402219107
top20_sin_leakage,Logistic,weighted,0.3,0.8890824622531939,0.26247795211106567,0.40501402444809376,0.8399663980282115,0.48416272402219107
top20_sin_leakage,Logistic,weighted,0.35,0.8700348432055749,0.2813435031053214,0.42478313626689407,0.8399663980282115,0.48416272402219107
