variable,target_pobreza_bin,count,mean,median,std,min,max
ingindhd,1,207,7541.9609888049135,1352.0,19701.0581653729,0.0,253022.0
ingauthd,0,1310,742.5824427480916,0.0,2471.113177616496,0.0,35694.0
ingauthd,1,207,553.2125603864735,0.0,1916.649193085692,0.0,21052.0
insedthd,0,1310,623.549336533874,0.0,3242.1742084626785,0.0,71800.0
insedthd,1,207,556.6396154136473,0.0,2328.448997840192,0.0,23144.400390625
insedlhd,0,1310,611.3050617247137,0.0,3168.5500555961207,0.0,71800.0
insedlhd,1,207,552.5913062349034,0.0,2318.210704206598,0.0,23144.400390625
paesechd,0,1310,44.620610687022904,0.0,393.5529629412157,0.0,6942.0
paesechd,1,207,32.84541062801932,0.0,259.1545913151245,0.0,3267.0
ingseihd,0,1310,1581.9871957269334,0.0,8882.596149527322,0.0,168648.0
ingseihd,1,207,493.94966693085746,0.0,2650.3090837290533,0.0,33040.66796875
isecauhd,0,1310,112.09847328244275,0.0,796.6381349312236,0.0,15843.0
isecauhd,1,207,45.55555555555556,0.0,321.77169672178906,0.0,3670.0
ingexthd,0,1310,1839.8435114503816,0.0,5564.1921321256,0.0,65434.0
ingexthd,1,207,98.81642512077295,0.0,506.7764056859531,0.0,3924.0
ingtrahd,0,1310,3112.3091603053435,0.0,6992.204151313926,0.0,95950.0
ingtrahd,1,207,1547.0579710144928,0.0,2693.8746964397214,0.0,12037.0
ingtexhd,0,1310,115.35648854961832,0.0,2716.9530073963715,0.0,85529.0
ingtexhd,1,207,0.0,0.0,0.0,0.0,0.0
ingrenhd,0,1310,892.2625954198473,0.0,5158.310238605116,0.0,95048.0
ingrenhd,1,207,28.463768115942027,0.0,338.3763450144586,0.0,4813.0
ingoexhd,0,1310,1068.671755725191,0.0,4648.955856620162,0.0,100360.0
ingoexhd,1,207,489.231884057971,0.0,2314.3205705455575,0.0,23638.0
g05hd,0,1310,3462.140869140625,1942.1591796875,4298.70751953125,0.0,30154.984375
g05hd,1,207,1022.5662841796875,0.0,1942.124267578125,0.0,10684.0654296875
